year_month,Category,total_units_sold,total_demand,avg_price,avg_inventory_level,total_units_ordered,promo_days
2022-10,Furniture,39755,45709,125.035949820789,272.413978494624,40089,180
2022-10,Groceries,127345,149314,51.44525,353.014516129032,123972,400
2022-10,Toys,37211,44223,27.8729723502304,225.281105990783,36934,140
2022-11,Clothing,43254,51085,70.0444375,274.633333333333,44900,160
2022-11,Electronics,32305,38404,85.93825,309.886111111111,32372,120
2022-11,Furniture,38751,44355,124.95837037037,267.012962962963,37850,180
2022-11,Groceries,125867,147730,52.156525,369.828333333333,126114,400
2022-11,Toys,36611,42832,27.7657857142857,230.642857142857,36443,140
2022-12,Clothing,52514,63686,75.2566330645161,303.235887096774,52722,160
2022-12,Electronics,34747,40946,87.0900537634409,322.922043010753,35499,120
2022-12,Furniture,39622,45739,125.220304659498,263.740143369176,40503,180
2022-12,Groceries,131523,153901,52.0694758064516,363.906451612903,135244,400
2022-12,Toys,38366,45159,27.7672811059908,238.230414746544,39004,140
2023-01,Clothing,54083,65338,75.9684274193548,334.239919354839,53592,160
2023-01,Electronics,32415,38775,85.3904032258065,331.481182795699,32014,120
2023-01,Furniture,37990,43518,123.181666666667,269.177419354839,36827,180
2023-01,Groceries,127657,149567,51.6113064516129,368.102419354839,119934,400
2023-01,Toys,36406,42667,27.541797235023,244.168202764977,34831,140
2023-02,Clothing,47485,56517,74.7671205357143,291.212053571429,47351,160
2023-02,Electronics,17629,20101,72.2548809523809,244.282738095238,15725,120
2023-02,Furniture,17130,19173,106.051845238095,209.646825396825,15836,180
2023-02,Groceries,79751,91933,45.4280178571429,255.782142857143,80315,400
2023-02,Toys,11252,12535,21.3158673469388,150.688775510204,10629,140
2023-03,Clothing,43669,52084,69.893810483871,282.45564516129,43013,160
2023-03,Electronics,33841,40340,86.5132258064516,284.158602150538,35547,120
2023-03,Furniture,41289,47382,126.588817204301,256.602150537634,42250,180
2023-03,Groceries,132894,156755,52.2345403225806,352.462096774194,136381,400
2023-03,Toys,44798,54672,30.0673041474654,269.490783410138,47070,140
2023-04,Clothing,42575,50510,70.3364583333333,252.558333333333,42717,160
2023-04,Electronics,23650,27461,77.2446111111111,291.069444444444,21414,120
2023-04,Furniture,24980,28079,112.239666666667,211.075925925926,23337,180
2023-04,Groceries,100398,116660,47.9536333333333,324.424166666667,95864,400
2023-04,Toys,24563,29114,24.8538333333333,238.571428571429,22392,140
2023-05,Clothing,44549,53230,70.4170967741935,274.046370967742,43994,160
2023-05,Electronics,28857,34118,81.3804301075269,267.008064516129,31693,120
2023-05,Furniture,31230,35862,117.746953405018,222.345878136201,32916,180
2023-05,Groceries,114807,134289,49.5739112903226,312.675,120876,400
2023-05,Toys,33117,39820,26.8535483870968,208.739631336406,35049,140
2023-06,Clothing,42787,50884,70.563875,268.252083333333,42456,160
2023-06,Electronics,33470,39102,86.2890277777778,302.613888888889,32852,120
2023-06,Furniture,38150,43638,124.336537037037,252.122222222222,38917,180
2023-06,Groceries,151301,180955,56.3863083333333,425.425,154168,400
2023-06,Toys,37302,43772,27.8567619047619,241.435714285714,37292,140
2023-07,Clothing,44309,53101,70.5970564516129,257.16935483871,45043,160
2023-07,Electronics,33241,38887,85.4360215053763,282.739247311828,32385,120
2023-07,Furniture,40175,46522,126.372007168459,272.232974910394,39440,180
2023-07,Groceries,157510,186346,56.1407258064516,437.291129032258,159653,400
2023-07,Toys,38160,45090,27.86366359447,238.013824884793,37907,140
2023-08,Clothing,45022,53766,70.3402217741936,286.060483870968,44018,160
2023-08,Electronics,34293,40486,86.1000268817204,295.41935483871,35033,120
2023-08,Furniture,41234,46769,125.870268817204,268.713261648746,41456,180
2023-08,Groceries,157057,186551,56.2642016129032,445.418548387097,156855,400
2023-08,Toys,38256,44772,27.9683410138249,226.933179723502,38440,140
2023-09,Clothing,42339,49631,69.3747708333333,273.085416666667,43062,160
2023-09,Electronics,32595,37848,85.1904444444445,299.561111111111,32859,120
2023-09,Furniture,38798,43787,125.164851851852,256.116666666667,39912,180
2023-09,Groceries,125198,146050,51.7808583333333,361.870833333333,119606,400
2023-09,Toys,37076,43009,27.8816190476191,244.204761904762,36576,140
2023-10,Clothing,46291,54192,70.3552620967742,267.75,46534,160
2023-10,Electronics,24221,27926,77.2173387096774,245.456989247312,23762,120
2023-10,Furniture,27767,31607,114.365053763441,237.870967741935,26652,180
2023-10,Groceries,105018,122904,48.3175241935484,317.249193548387,105552,400
2023-10,Toys,21977,25961,24.0423963133641,191.400921658986,22333,140
2023-11,Clothing,42728,50969,70.2569166666667,267.98125,42773,160
2023-11,Electronics,33662,38993,86.1440833333333,303.147222222222,34412,120
2023-11,Furniture,38485,44241,124.849148148148,257.646296296296,39016,180
2023-11,Groceries,123772,145361,51.4583,351.254166666667,122768,400
2023-11,Toys,35927,41284,27.4476904761905,225.292857142857,35545,140
2023-12,Clothing,52844,63157,75.1704032258064,296.745967741935,54372,160
2023-12,Electronics,32209,36988,83.4819892473118,288.271505376344,30247,120
2023-12,Furniture,36786,41384,121.696433691756,270.241935483871,34724,180
2023-12,Groceries,124540,144786,51.256564516129,368.976612903226,121210,400
2023-12,Toys,33711,40074,26.7770737327189,237.834101382488,34203,140
2024-01,Clothing,49468,59079,73.9764791666667,327.075,48179,160
2024-01,Electronics,28006,32606,81.2089166666667,262.730555555556,29495,120
2024-01,Furniture,32466,36795,118.768611111111,223.218518518519,33857,180
2024-01,Groceries,111656,132029,49.9758333333333,321.3125,114919,400
2024-01,Toys,28322,33650,25.6673095238095,231.219047619048,27923,140
